timestamp(ms);tx-load;cpu-usage-pid(%);cpu-usage-total(%);memory-used-pid(MB);memory-usage-total(%);disk-io-total(MB/s)
0;0;0.0;25.0;379.95;55.0;0.26
1405;0;0.0;11.8;379.95;55.1;0.46
2842;3;10.32;34.1;355.27;54.8;20.4
4538;19;37.4;70.2;374.37;55.1;27.83
6216;24;34.35;68.0;399.13;55.5;16.02
7896;29;37.95;70.8;408.53;55.7;1.55
9592;27;36.83;70.5;418.91;56.1;43.0
11259;25;32.7;66.4;426.02;56.1;1.55
12923;23;36.45;68.8;434.76;56.5;23.36
14570;22;32.38;66.9;442.84;56.8;15.48
16265;30;33.8;69.3;451.47;57.2;2.03
18081;24;33.98;67.2;460.02;57.6;25.1
19750;26;34.42;65.9;468.8;57.9;27.68
21451;26;36.7;68.3;477.34;58.2;17.41
23137;27;31.25;63.3;487.66;58.5;29.43
24829;26;35.55;65.9;495.6;58.5;2.31
26515;23;36.45;73.5;504.24;58.9;49.72
28231;23;31.82;64.4;512.39;59.0;0.78
29911;22;37.5;70.0;521.74;59.5;30.29
31630;24;33.62;67.0;530.53;59.7;37.74
33335;23;30.98;66.1;538.68;59.8;7.54
35056;23;38.17;71.3;547.71;60.1;3.57
36722;26;31.77;65.0;555.84;60.4;21.44
38440;27;33.4;76.0;564.45;60.8;7.28
40399;24;31.8;78.9;572.7;61.2;2.11
42133;26;36.27;69.0;582.23;61.6;7.93
43898;25;32.3;78.6;590.0;61.9;8.53
45907;25;34.9;71.1;348.72;58.6;18.39
47589;31;34.35;67.6;349.11;58.9;1.41
49366;30;38.35;70.0;351.49;59.1;31.21
51062;26;35.2;66.6;352.05;59.2;35.18
52710;27;35.62;65.8;353.6;59.2;1.64
54447;27;36.25;69.2;356.21;59.5;26.02
56143;26;37.15;69.9;357.97;59.6;14.9
57905;26;33.48;65.5;359.69;59.6;1.22
59598;26;34.4;66.4;361.76;59.9;1.44
61514;26;36.48;66.5;270.22;58.9;20.95
63208;25;35.77;67.2;270.5;58.9;28.7
64894;24;29.85;61.5;272.19;58.5;10.41
66586;27;34.27;69.3;273.34;58.7;0.89
68342;23;36.15;66.7;274.69;58.9;1.47
70019;24;38.65;68.4;277.14;59.1;28.96
71677;24;36.1;68.5;278.6;59.4;60.69
73342;26;29.48;61.1;280.01;59.3;0.63
75015;28;37.85;68.5;259.49;59.3;1.34
76909;27;33.83;63.6;258.83;59.3;49.9
78587;22;28.73;59.3;260.18;59.4;8.32
80253;21;35.98;68.3;261.87;59.5;1.44
81923;27;37.38;67.8;263.63;59.8;12.38
83571;25;35.7;65.1;264.84;59.9;9.7
85205;23;32.88;65.6;266.86;60.1;40.95
86878;26;33.4;60.9;268.29;60.3;1.34
88577;24;39.1;71.6;256.7;60.2;1.21
90505;27;32.48;64.7;256.91;60.3;1.36
92155;27;36.9;68.5;257.97;60.5;38.81
93881;28;34.02;61.6;259.77;60.8;32.39
95400;6;3.1;24.6;259.93;60.7;0.26
