time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(%);memory-usage-total(%);disk-io-utilization(B/s)
1591807188120;0.0;0.0;162299904;74.1;2258732.3
1591807189691;0.0;15.1;162299904;75.3;2707391.98
1591807191603;15.85;54.7;175259648;73.1;5903330.71
1591807193406;35.425;68.9;204075008;73.4;1766163.18
1591807195102;36.75;59.2;214884352;73.8;19503729.96
1591807196907;30.5;57.7;224874496;73.8;5991663.17
1591807198672;37.625;58.7;211644416;73.7;46235373.17
1591807200444;30.975;56.4;214016000;72.5;25756554.38
1591807202222;35.525;58.1;224215040;72.1;32323490.14
1591807204011;34.625;55.8;233926656;72.3;22729442.0
1591807205751;35.1;52.3;218173440;72.2;5947113.08
1591807207538;36.05;56.6;220528640;72.3;35566510.9
1591807209304;31.95;53.1;220651520;72.2;2007302.69
1591807211088;43.35;60.2;231137280;72.5;19853923.73
1591807212882;41.675;65.2;225026048;72.7;51257997.12
1591807214673;26.725;47.2;225144832;72.6;16059939.42
1591807216413;35.3;59.3;227381248;74.3;16270887.08
1591807218209;30.35;50.8;229097472;74.4;24920131.99
1591807219977;33.9;53.1;230428672;74.4;2823564.71
1591807221780;39.375;60.0;239853568;74.8;1612206.15
1591807223719;35.45;55.9;249815040;75.2;57150447.81
1591807225485;26.0;49.6;256385024;74.5;8839989.34
1591807227408;32.725;56.0;265920512;73.8;6523687.85
1591807229178;34.075;52.1;276246528;74.0;31497314.65
1591807230941;28.75;47.9;284258304;74.1;15905131.36
1591807232711;39.825;58.8;293597184;74.3;1294409.78
1591807234667;38.925;59.4;303951872;74.6;23245613.9
1591807236423;29.0;47.4;312721408;74.6;27180881.2
1591807238167;33.925;52.3;321773568;74.8;12314309.56
1591807239869;37.95;54.6;331522048;75.1;2187328.58
1591807241804;34.875;54.0;341082112;75.3;2017943.24
1591807243570;32.45;51.5;351305728;75.5;1330699.39
1591807245348;40.725;60.6;361402368;75.9;45743728.41
1591807247011;33.75;52.3;370716672;76.0;2355569.29
1591807248764;34.675;54.4;379731968;76.2;33418084.69
1591807250553;27.675;48.1;389734400;76.4;34898661.14
1591807252325;35.875;53.7;398430208;76.6;25858087.1
1591807254122;30.325;49.0;406814720;76.7;2822345.62
1591807255878;37.4;52.6;416509952;76.9;7346751.71
1591807257642;28.975;47.4;425910272;77.2;42567350.35
1591807259404;33.025;50.9;433512448;77.1;17508903.87
1591807261174;32.75;49.8;442580992;77.3;31971436.72
1591807262995;32.45;51.3;450957312;77.4;28541540.81
1591807264769;32.125;53.0;459825152;77.6;1913459.83
1591807266553;37.95;57.7;470224896;77.9;2449037.89
1591807268282;37.475;57.1;480251904;78.2;11438513.76
1591807270016;35.7;55.4;491319296;78.3;2614872.17
1591807271797;31.975;51.7;500191232;78.4;29287040.76
1591807273581;32.025;49.0;508772352;78.4;1628667.93
1591807275640;39.55;57.4;519368704;78.7;8677878.48
