time(timestamp);cpu-usage-pid(%);cpu-usage-total(%);memory-usage-pid(Bytes);memory-usage-total(%);disk-io-utilization(B/s)
1593256670039;0.0;0.0;121217024;46.3;106528.86
1593256671557;0.0;13.7;121217024;46.4;931838.56
1593256673081;19.65;38.0;135028736;46.6;13025195.34
1593256674899;39.675;60.6;161558528;47.1;1232899.33
1593256676667;36.05;58.6;172048384;47.3;29156954.98
1593256678444;34.0;54.5;181854208;47.3;12437015.31
1593256680192;38.625;62.1;169664512;47.3;12169754.43
1593256682071;32.075;54.1;172605440;47.5;16925215.42
1593256683848;35.1;56.2;185622528;47.7;13105202.02
1593256685650;33.7;56.2;177885184;47.7;1290495.78
1593256687434;37.05;59.8;176807936;47.9;34335404.1
1593256689343;33.15;70.5;180211712;47.8;1785981.12
1593256691187;41.525;81.8;182775808;48.0;1375414.66
1593256693032;34.325;75.9;191496192;48.2;29695250.71
1593256694899;34.45;69.2;198098944;48.2;6218195.26
1593256696761;39.9;81.2;207904768;48.5;20920621.43
1593256698660;34.025;72.1;214142976;48.5;22209300.1
1593256700519;35.925;72.9;221442048;48.7;1056293.3
1593256702368;38.35;79.9;229367808;49.0;37149676.65
1593256704296;43.325;82.9;193331200;48.5;38673712.52
1593256706157;35.1;73.7;193466368;48.5;9491698.19
1593256708138;35.825;74.3;194109440;48.6;1380120.03
1593256710024;41.675;81.6;193974272;48.7;6538228.57
1593256712041;37.6;76.6;197734400;48.8;22655453.61
1593256713931;41.1;80.4;185044992;48.5;1704000.14
1593256715823;40.3;79.4;187772928;47.8;1960921.37
1593256717832;37.775;76.9;188035072;48.0;1723897.97
1593256719703;42.925;80.1;189067264;48.1;2290542.84
1593256721684;38.3;78.5;191229952;48.3;10766401.56
1593256723731;38.575;77.0;184168448;48.2;1007419.55
1593256725606;37.5;79.1;184569856;48.3;29671123.93
1593256727496;37.6;76.7;185151488;48.4;1390804.0
1593256729452;39.475;77.4;186589184;48.5;1976251.87
1593256731389;39.125;75.9;182816768;48.4;2991967.93
1593256733250;44.1;80.8;185151488;48.6;1518093.5
1593256735323;37.9;73.6;185479168;48.1;23445264.97
1593256737208;33.475;74.8;185380864;48.0;25802378.37
1593256739055;37.7;77.1;188190720;48.1;3368367.13
1593256740925;38.325;81.6;184639488;48.1;2799798.07
1593256742821;38.45;79.5;184655872;48.3;6584603.98
1593256744911;34.7;70.7;186724352;48.4;10643799.79
1593256746786;39.8;80.2;188059648;48.6;7567330.57
1593256748665;37.925;76.6;190099456;48.9;27299834.33
1593256750547;40.7;77.0;186314752;48.8;3242577.05
1593256752418;40.35;81.6;187858944;48.9;1446310.03
1593256754276;36.55;78.0;188055552;49.1;41302380.25
1593256756161;36.775;73.7;188473344;49.0;1588664.51
1593256758071;46.325;84.0;184004608;49.2;16225468.02
1593256759941;38.55;79.1;183554048;49.3;27958205.38
1593256761777;35.475;73.7;184594432;49.4;12760062.75
1593256763652;40.825;78.4;185643008;49.5;21927994.31
1593256765494;37.5;77.9;186699776;49.4;20224667.92
1593256767363;38.125;76.4;183480320;49.3;1183440.45
1593256769255;39.65;78.1;182620160;49.6;1912307.07
1593256771127;39.8;81.1;185516032;49.8;63809342.28
1593256772999;36.25;71.7;187240448;49.8;1188125.15
1593256774823;38.6;77.7;188375040;50.0;4217822.13
1593256776778;36.0;76.9;193298432;50.1;31696131.94
1593256778678;35.225;75.4;200859648;50.3;2091965.86
1593256780653;43.125;81.9;190988288;50.3;1864745.64
1593256782568;36.9;78.0;192057344;50.5;9446677.74
1593256784640;37.025;73.8;192638976;50.3;17672080.08
1593256786508;40.95;77.6;194113536;50.5;1221052.22
