timestamp(ms);elapse-time(ms);tx-load
2447;255;3
2572;368;4
2587;17;3
2790;446;3
3088;504;6
3227;540;8
3352;655;8
3363;141;5
3461;500;7
3649;865;10
3746;398;5
3979;618;9
4076;617;9
4179;628;8
4272;715;10
4283;211;7
4381;637;10
4488;600;10
4740;1096;13
4850;675;10
4976;707;12
5171;892;14
5263;887;14
5349;872;14
5434;797;14
5443;185;9
5541;700;12
5633;659;7
5786;1052;12
5865;519;8
5952;521;8
6048;609;11
6266;731;13
6380;753;14
6486;780;12
6497;236;7
6605;744;13
6691;743;14
6855;1075;14
6935;562;11
7025;544;12
7121;629;12
7199;601;13
7286;599;13
7365;595;13
7374;177;10
7471;540;13
7556;535;5
7791;940;12
7899;617;10
8007;646;11
8102;732;10
8250;783;13
8334;781;13
8432;802;15
8449;204;9
8602;709;13
8699;698;8
8852;1062;13
8932;601;10
9020;591;11
9134;691;12
9228;630;12
9336;641;13
9461;688;13
9479;254;10
9587;659;12
9681;665;12
9865;1017;12
9947;620;8
10028;570;8
10154;682;12
10285;702;11
10374;695;11
10628;858;11
10638;357;7
10723;780;11
10819;796;12
11059;1200;14
11225;859;12
11322;700;12
11429;794;13
11531;811;14
11615;799;13
11704;799;14
11713;186;9
11879;659;15
11976;660;7
12154;1099;13
12246;636;11
12339;638;12
12416;707;12
12509;634;12
12654;684;12
12756;691;14
12767;265;10
12863;621;14
12953;618;13
13200;1050;13
13283;633;10
13360;611;11
13435;670;12
13517;659;11
13757;808;13
13851;765;14
13863;349;10
13960;682;12
14046;689;12
14248;1053;14
14363;614;11
14488;639;12
14596;738;14
14693;737;14
14789;748;15
14870;730;15
14878;190;10
14957;597;15
15037;552;13
15196;959;12
15279;498;10
15362;497;11
15439;564;12
15513;560;12
15638;606;11
15730;618;12
15739;231;10
15846;572;11
15965;607;12
16179;988;14
16284;651;12
16383;658;12
16467;731;13
16555;713;13
16640;682;13
16728;664;13
16738;188;10
16829;551;13
16913;538;13
17073;901;8
17159;524;5
17282;558;7
17697;964;12
17816;990;13
17916;1007;15
18023;1030;16
18036;227;7
18141;986;17
18234;955;17
18396;1327;17
18481;573;11
18563;547;12
18647;616;12
18726;589;13
18813;585;13
18897;580;14
18905;184;11
18984;508;14
19095;538;6
19289;896;11
19410;602;10
19503;610;10
19600;698;11
19695;715;11
19790;701;12
19867;683;13
19876;188;8
20109;707;8
20203;707;8
20370;1087;13
20460;674;11
20549;686;12
20633;761;13
20716;613;12
20806;607;13
20920;638;13
20932;221;9
21045;589;13
21161;616;7
21389;1023;14
21475;675;12
21555;639;12
21634;707;13
21719;680;13
21803;648;12
21884;622;12
21892;177;10
21978;510;12
22060;509;13
22214;828;10
22294;496;7
22558;679;11
